Handle,Team,Type of Pilot ,Status,Handle,Instagram ,Facebook ,youtube 
Lazyday,Arizona Desert hawks,MLDR,Not Contacted,Lazyday,https://www.instagram.com/lazyday_fpv/?hl=en,,https://www.youtube.com/c/LazyDayFPV
HoneyBadger,Arizona Desert hawks,MLDR,Not Contacted,HoneyBadger,,,
Vanadium ,Arizona Desert hawks,MLDR,Not Contacted,Vanadium ,https://www.youtube.com/@vanadium9706,,
Wildtype,Arizona Desert hawks,MLDR,Not Contacted,Wildtype,https://www.instagram.com/wildtypefpv/?hl=en,https://www.facebook.com/wildtypefpv,
ScrapeHeap,Arizona Desert hawks,MLDR,Not Contacted,ScrapeHeap,,,
ZPFunk,Arizona Desert hawks,MLDR,Not Contacted,ZPFunk,https://www.instagram.com/zpfunk/?hl=en,,
Hatter,Arizona Desert hawks,MLDR,Not Contacted,Hatter,,,
Sturmy,Arizona Desert hawks,MLDR,Not Contacted,Sturmy,,,
Freedom,Phoenix Falcons,MLDR,Not Contacted,Freedom,https://www.instagram.com/fpv_freedom/,,
GainingGround,Phoenix Falcons,MLDR,Not Contacted,GainingGround,,,
BuddhaFPV,Phoenix Falcons,MLDR,Not Contacted,BuddhaFPV,https://www.instagram.com/buddha.eyez_fpv/?hl=en,,
Chedda,Phoenix Falcons,MLDR,Not Contacted,Chedda,,,
Mckibben_FPV,Dallas Ravens,MLDR,Not Contacted,Mckibben_FPV,https://www.instagram.com/mckibben_fpv/,,
Chaser,Dallas Ravens,MLDR,Not Contacted,Chaser,,,
Teekat.FPV,Dallas Ravens,MLDR,Not Contacted,Teekat.FPV,,,https://www.youtube.com/channel/UC_GciKfi-HL0_nMFEOYnGSA
Chett Mac,Dallas Ravens,MLDR,Not Contacted,Chett Mac,,,
Vball,Dallas Ravens,MLDR,Not Contacted,Vball,,,
Jbox,Dallas Ravens,MLDR,Not Contacted,Jbox,,,https://www.youtube.com/channel/UCmdMb6eYacmXTmb3Kv_8trQ
KumoKraft,Dallas Ravens,MLDR,Not Contacted,KumoKraft,https://www.instagram.com/kumokraft/?hl=en,,https://www.youtube.com/user/kumokraft/videos
Joe Cool,Dallas Ravens,MLDR,Not Contacted,Joe Cool,https://www.instagram.com/joe.fpv/?hl=en,,https://www.youtube.com/watch?v=JkvXLR3bjCA&ab_channel=JoeFPV
DessertRate,Dallas Ravens,MLDR,Not Contacted,DessertRate,,,
Imperius,Las Vegas Hornets,MLDR,Not Contacted,Imperius,,https://www.facebook.com/ImperiusFPV/,https://www.youtube.com/channel/UCi5mP1RI4-gTzDXoBIANulg
PimpHop,Las Vegas Hornets,MLDR,Not Contacted,PimpHop,,,https://www.youtube.com/@pimphopfpv100/videos
Blaise,Las Vegas Hornets,MLDR,Not Contacted,Blaise,,,https://www.youtube.com/@Blaisfpv/videos
2_hottie,Las Vegas Hornets,MLDR,Not Contacted,2_hottie,,,https://www.youtube.com/@2_hottie/about
Meta4,Las Vegas Hornets,MLDR,Not Contacted,Meta4,https://www.instagram.com/theveith/,,https://www.youtube.com/@meta4FPV/about
Razzi,Las Vegas Hornets,MLDR,Not Contacted,Razzi,,,
Tiger.i,Las Vegas Hornets,MLDR,Not Contacted,Tiger.i,,,
SFPV,San Francsico Condors,MLDR,Not Contacted,SFPV,,,
Zstone,San Francsico Condors,MLDR,Not Contacted,Zstone,https://www.instagram.com/_z_stone/?hl=en,,
Mewo,San Francsico Condors,MLDR,Not Contacted,Mewo,https://www.instagram.com/mewofpv/?hl=en,,
j4y,San Francsico Condors,MLDR,Not Contacted,j4y,,,
JFK,San Francsico Condors,MLDR,Not Contacted,JFK,https://www.instagram.com/jfk.fpv/?hl=en,,https://www.youtube.com/channel/UCcziY9a8fWpTBCIYb-bux0w
Faerry,San Francsico Condors,MLDR,Not Contacted,Faerry,,,
PappaWoody,California Sea Dragons,MLDR,Not Contacted,PappaWoody,,,
VermillionZ,California Sea Dragons,MLDR,Not Contacted,VermillionZ,,,
Leviathann,California Sea Dragons,MLDR,Not Contacted,Leviathann,https://www.instagram.com/leviathan_fpv/?hl=en,,https://www.youtube.com/@LeviathanFPV
OhSchnapp,California Sea Dragons,MLDR,Not Contacted,OhSchnapp,,,https://www.youtube.com/@ohSchnapp/about
Racafpv,California Sea Dragons,MLDR,Not Contacted,Racafpv,,,
Bebafpv,California Sea Dragons,MLDR,Not Contacted,Bebafpv,,,
Cesar_fpv,California Sea Dragons,MLDR,Not Contacted,Cesar_fpv,https://www.instagram.com/cesar_fpv/?hl=en,,
Drobot ,California Sea Dragons,MLDR,Not Contacted,Drobot ,https://www.instagram.com/drobotracer/,,https://www.youtube.com/channel/UC0Du3mKdaHfUZHfm6KdIkOA
SegFPV,California Sea Dragons,MLDR,Not Contacted,SegFPV,https://www.instagram.com/segafpv/?hl=en,,https://www.youtube.com/@region2350